Date,Time,Type,Remark,Keyword,"Total Time (Seconds)","Speed Upload (KB)","Speed Download (KB)","Size Upload (KB)","Size Download (KB)"
05-08-2017,19:40:02,TrackerStart
05-08-2017,19:40:02,KeywordSearchStart,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:03,Request,https://clinicaltrials.gov/ct2/results?term=Ankylosing+Spodylitis&Search=&displayxml=true&pg=1,"Ankylosing Spodylitis",1.157,0,141,0.00,0.16
05-08-2017,19:40:03,KeywordSearchEnd,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:03,KeywordSearchStart,"Crohn's Disease","Crohn's Disease"
05-08-2017,19:40:04,Request,https://clinicaltrials.gov/ct2/results?term=Crohn%27s+Disease&Search=&displayxml=true&pg=1,"Crohn's Disease",0.828,0,64652,0.00,52.28
05-08-2017,19:40:05,Request,https://clinicaltrials.gov/ct2/show/record/NCT01736046?,"Crohn's Disease",0.782,0,62772,0.00,47.94
05-08-2017,19:40:07,Request,https://clinicaltrials.gov/ct2/show/record/NCT01074580?,"Crohn's Disease",2.281,0,16906,0.00,37.66
05-08-2017,19:40:09,Request,https://clinicaltrials.gov/ct2/show/record/NCT01554007?,"Crohn's Disease",1.484,0,30321,0.00,43.94
05-08-2017,19:40:09,Request,https://clinicaltrials.gov/ct2/show/record/NCT00723840?,"Crohn's Disease",0.797,0,51486,0.00,40.07
05-08-2017,19:40:11,Request,https://clinicaltrials.gov/ct2/show/record/NCT02231814?,"Crohn's Disease",1.484,0,31272,0.00,45.32
05-08-2017,19:40:12,Request,https://clinicaltrials.gov/ct2/show/record/NCT02504255?,"Crohn's Disease",0.875,0,47630,0.00,40.70
05-08-2017,19:40:13,Request,https://clinicaltrials.gov/ct2/show/record/NCT00356408?,"Crohn's Disease",1.641,0,23982,0.00,38.43
05-08-2017,19:40:15,Request,https://clinicaltrials.gov/ct2/show/record/NCT01355614?,"Crohn's Disease",1.484,0,25704,0.00,37.25
05-08-2017,19:40:16,Request,https://clinicaltrials.gov/ct2/show/record/NCT00587210?,"Crohn's Disease",0.829,0,45744,0.00,37.03
05-08-2017,19:40:17,Request,https://clinicaltrials.gov/ct2/show/record/NCT02768532?,"Crohn's Disease",1.516,0,34134,0.00,50.54
05-08-2017,19:40:18,Request,https://clinicaltrials.gov/ct2/show/record/NCT02061163?,"Crohn's Disease",0.812,0,49140,0.00,38.97
05-08-2017,19:40:20,Request,https://clinicaltrials.gov/ct2/show/record/NCT01759264?,"Crohn's Disease",1.547,0,26969,0.00,40.74
05-08-2017,19:40:21,Request,https://clinicaltrials.gov/ct2/show/record/NCT00409682?,"Crohn's Disease",0.891,0,71415,0.00,62.14
05-08-2017,19:40:22,Request,https://clinicaltrials.gov/ct2/show/record/NCT01155362?,"Crohn's Disease",1.453,0,28545,0.00,40.50
05-08-2017,19:40:23,Request,https://clinicaltrials.gov/ct2/show/record/NCT01392365?,"Crohn's Disease",0.906,0,47735,0.00,42.23
05-08-2017,19:40:29,Request,https://clinicaltrials.gov/ct2/show/record/NCT01671579?,"Crohn's Disease",5.625,0,7161,0.00,39.34
05-08-2017,19:40:30,Request,https://clinicaltrials.gov/ct2/show/record/NCT01573078?,"Crohn's Disease",1.563,0,24193,0.00,36.93
05-08-2017,19:40:31,Request,https://clinicaltrials.gov/ct2/show/record/NCT02843100?,"Crohn's Disease",0.859,0,54926,0.00,46.08
05-08-2017,19:40:33,Request,https://clinicaltrials.gov/ct2/show/record/NCT01632462?,"Crohn's Disease",1.563,0,41898,0.00,63.95
05-08-2017,19:40:34,Request,https://clinicaltrials.gov/ct2/show/record/NCT01083680?,"Crohn's Disease",1.046,0,41736,0.00,42.63
05-08-2017,19:40:35,Request,https://clinicaltrials.gov/ct2/show/record/NCT02520843?,"Crohn's Disease",1.391,0,32450,0.00,44.08
05-08-2017,19:40:43,Request,https://clinicaltrials.gov/ct2/show/record/NCT01046773?,"Crohn's Disease",8.031,0,28,0.00,0.22
05-08-2017,19:40:44,Request,https://clinicaltrials.gov/ct2/show/record/NCT02940054?,"Crohn's Disease",1.203,0,35573,0.00,41.79
05-08-2017,19:40:45,Request,https://clinicaltrials.gov/ct2/show/record/NCT01105741?,"Crohn's Disease",0.953,0,45519,0.00,42.36
05-08-2017,19:40:47,Request,https://clinicaltrials.gov/ct2/show/record/NCT02825316?,"Crohn's Disease",1.61,0,25789,0.00,40.55
05-08-2017,19:40:48,Request,https://clinicaltrials.gov/ct2/show/record/NCT00851565?,"Crohn's Disease",1.593,0,32782,0.00,51.00
05-08-2017,19:40:50,Request,https://clinicaltrials.gov/ct2/show/record/NCT00130390?,"Crohn's Disease",1.688,0,23871,0.00,39.35
05-08-2017,19:40:51,Request,https://clinicaltrials.gov/ct2/show/record/NCT00528073?,"Crohn's Disease",0.937,0,48450,0.00,44.33
05-08-2017,19:40:53,Request,https://clinicaltrials.gov/ct2/show/record/NCT00487396?,"Crohn's Disease",1.609,0,28287,0.00,44.45
05-08-2017,19:40:54,Request,https://clinicaltrials.gov/ct2/show/record/NCT00207662?,"Crohn's Disease",0.891,0,43992,0.00,38.28
05-08-2017,19:40:55,Request,https://clinicaltrials.gov/ct2/show/record/NCT02472457?,"Crohn's Disease",1.687,0,25323,0.00,41.72
05-08-2017,19:40:56,Request,https://clinicaltrials.gov/ct2/show/record/NCT01182467?,"Crohn's Disease",0.985,0,41220,0.00,39.65
05-08-2017,19:40:58,Request,https://clinicaltrials.gov/ct2/show/record/NCT00109473?,"Crohn's Disease",1.64,0,28164,0.00,45.11
05-08-2017,19:40:59,Request,https://clinicaltrials.gov/ct2/show/record/NCT01276509?,"Crohn's Disease",1.063,0,43253,0.00,44.90
05-08-2017,19:41:01,Request,https://clinicaltrials.gov/ct2/show/record/NCT00291668?,"Crohn's Disease",1.797,0,24548,0.00,43.08
05-08-2017,19:41:02,Request,https://clinicaltrials.gov/ct2/show/record/NCT01150890?,"Crohn's Disease",1.047,0,38634,0.00,39.50
05-08-2017,19:41:03,Request,https://clinicaltrials.gov/ct2/show/record/NCT01874015?,"Crohn's Disease",1.609,0,25086,0.00,39.42
05-08-2017,19:41:04,Request,https://clinicaltrials.gov/ct2/show/record/NCT00588653?,"Crohn's Disease",1.015,0,43632,0.00,43.25
05-08-2017,19:41:06,Request,https://clinicaltrials.gov/ct2/show/record/NCT01958827?,"Crohn's Disease",1.672,0,29882,0.00,48.79
05-08-2017,19:41:08,Request,https://clinicaltrials.gov/ct2/show/record/NCT01365767?,"Crohn's Disease",1.891,0,21620,0.00,39.93
05-08-2017,19:41:10,Request,https://clinicaltrials.gov/ct2/show/record/NCT00599625?,"Crohn's Disease",1.64,0,26628,0.00,42.65
05-08-2017,19:41:11,Request,https://clinicaltrials.gov/ct2/show/record/NCT00126373?,"Crohn's Disease",1.016,0,39617,0.00,39.31
05-08-2017,19:41:19,Request,https://clinicaltrials.gov/ct2/show/record/NCT02772458?,"Crohn's Disease",8.031,0,28,0.00,0.22
05-08-2017,19:41:27,Request,https://clinicaltrials.gov/ct2/show/record/NCT02378688?,"Crohn's Disease",8.125,0,28,0.00,0.22
05-08-2017,19:41:28,Request,https://clinicaltrials.gov/ct2/show/record/NCT00584740?,"Crohn's Disease",1.188,0,36798,0.00,42.69
05-08-2017,19:41:29,Request,https://clinicaltrials.gov/ct2/show/record/NCT01030809?,"Crohn's Disease",1.031,0,39544,0.00,39.81
05-08-2017,19:41:37,Request,https://clinicaltrials.gov/ct2/show/record/NCT00596700?,"Crohn's Disease",8.031,0,28,0.00,0.22
05-08-2017,19:41:38,Request,https://clinicaltrials.gov/ct2/show/record/NCT01345799?,"Crohn's Disease",1.282,0,28773,0.00,36.02
05-08-2017,19:41:39,Request,https://clinicaltrials.gov/ct2/show/record/NCT01860846?,"Crohn's Disease",1.031,0,45971,0.00,46.29
05-08-2017,19:41:47,Request,https://clinicaltrials.gov/ct2/show/record/NCT00088062?,"Crohn's Disease",8.047,0,28,0.00,0.22
05-08-2017,19:41:48,Request,https://clinicaltrials.gov/ct2/show/record/NCT01235689?,"Crohn's Disease",1.125,0,39711,0.00,43.63
05-08-2017,19:41:50,Request,https://clinicaltrials.gov/ct2/show/record/NCT00269854?,"Crohn's Disease",1.703,0,25473,0.00,42.36
05-08-2017,19:41:51,Request,https://clinicaltrials.gov/ct2/show/record/NCT03194529?,"Crohn's Disease",1.204,0,38028,0.00,44.71
05-08-2017,19:41:53,Request,https://clinicaltrials.gov/ct2/show/record/NCT00308581?,"Crohn's Disease",1.828,0,37182,0.00,66.38
05-08-2017,19:41:55,Request,https://clinicaltrials.gov/ct2/show/record/NCT01298648?,"Crohn's Disease",1.562,0,27493,0.00,41.94
05-08-2017,19:41:56,Request,https://clinicaltrials.gov/ct2/show/record/NCT00297648?,"Crohn's Disease",1.453,0,39446,0.00,55.97
05-08-2017,19:42:03,Request,https://clinicaltrials.gov/ct2/show/record/NCT00692939?,"Crohn's Disease",6.891,0,6720,0.00,45.23
05-08-2017,19:42:07,Request,https://clinicaltrials.gov/ct2/show/record/NCT01190410?,"Crohn's Disease",3.984,0,10464,0.00,40.71
05-08-2017,19:42:09,Request,https://clinicaltrials.gov/ct2/show/record/NCT00178438?,"Crohn's Disease",1.985,0,18989,0.00,36.81
05-08-2017,19:42:12,Request,https://clinicaltrials.gov/ct2/show/record/NCT01190839?,"Crohn's Disease",3.172,0,14976,0.00,46.39
05-08-2017,19:42:14,Request,https://clinicaltrials.gov/ct2/show/record/NCT01258205?,"Crohn's Disease",1.937,0,20766,0.00,39.28
05-08-2017,19:42:15,Request,https://clinicaltrials.gov/ct2/show/record/NCT00206661?,"Crohn's Disease",1.125,0,36537,0.00,40.14
05-08-2017,19:42:17,Request,https://clinicaltrials.gov/ct2/show/record/NCT00102921?,"Crohn's Disease",1.938,0,20443,0.00,38.69
05-08-2017,19:42:18,Request,https://clinicaltrials.gov/ct2/show/record/NCT01576120?,"Crohn's Disease",1.125,0,39778,0.00,43.70
05-08-2017,19:42:26,Request,https://clinicaltrials.gov/ct2/show/record/NCT00573469?,"Crohn's Disease",8.031,0,28,0.00,0.22
05-08-2017,19:42:28,Request,https://clinicaltrials.gov/ct2/show/record/NCT01157650?,"Crohn's Disease",1.312,0,44070,0.00,56.47
05-08-2017,19:42:29,Request,https://clinicaltrials.gov/ct2/show/record/NCT00383344?,"Crohn's Disease",1.219,0,31568,0.00,37.58
05-08-2017,19:42:31,Request,https://clinicaltrials.gov/ct2/show/record/NCT03088449?,"Crohn's Disease",1.906,0,22713,0.00,42.28
05-08-2017,19:42:32,Request,https://clinicaltrials.gov/ct2/show/record/NCT01749813?,"Crohn's Disease",1.25,0,33206,0.00,40.54
05-08-2017,19:42:34,Request,https://clinicaltrials.gov/ct2/show/record/NCT00739986?,"Crohn's Disease",1.86,0,23438,0.00,42.57
05-08-2017,19:42:40,Request,https://clinicaltrials.gov/ct2/show/record/NCT03054935?,"Crohn's Disease",5.609,0,7914,0.00,43.35
