Date,Time,Type,Remark,Keyword,"Total Time (Seconds)","Speed Upload (KB)","Speed Download (KB)","Size Upload (KB)","Size Download (KB)"
05-08-2017,19:40:18,TrackerStart
05-08-2017,19:40:18,KeywordSearchStart,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:19,Request,https://clinicaltrials.gov/ct2/results?term=Ankylosing+Spodylitis&Search=&displayxml=true&pg=1,"Ankylosing Spodylitis",1.14,0,143,0.00,0.16
05-08-2017,19:40:19,KeywordSearchEnd,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:19,KeywordSearchStart,"Crohn's Disease","Crohn's Disease"
05-08-2017,19:40:25,Request,https://clinicaltrials.gov/ct2/results?term=Crohn%27s+Disease&Search=&displayxml=true&pg=1,"Crohn's Disease",5.672,0,9437,0.00,52.28
05-08-2017,19:40:25,Request,https://clinicaltrials.gov/ct2/show/record/NCT01736046?,"Crohn's Disease",0.797,0,61590,0.00,47.94
05-08-2017,19:40:27,Request,https://clinicaltrials.gov/ct2/show/record/NCT01074580?,"Crohn's Disease",1.64,0,23514,0.00,37.66
05-08-2017,19:40:35,Request,https://clinicaltrials.gov/ct2/show/record/NCT01554007?,"Crohn's Disease",8.032,0,28,0.00,0.22
05-08-2017,19:40:36,Request,https://clinicaltrials.gov/ct2/show/record/NCT00723840?,"Crohn's Disease",1,0,41035,0.00,40.07
05-08-2017,19:40:37,Request,https://clinicaltrials.gov/ct2/show/record/NCT02231814?,"Crohn's Disease",1.406,0,33007,0.00,45.32
05-08-2017,19:40:38,Request,https://clinicaltrials.gov/ct2/show/record/NCT02504255?,"Crohn's Disease",1.062,0,39243,0.00,40.70
05-08-2017,19:40:40,Request,https://clinicaltrials.gov/ct2/show/record/NCT00356408?,"Crohn's Disease",1.547,0,25439,0.00,38.43
05-08-2017,19:40:41,Request,https://clinicaltrials.gov/ct2/show/record/NCT01355614?,"Crohn's Disease",0.953,0,40026,0.00,37.25
05-08-2017,19:40:43,Request,https://clinicaltrials.gov/ct2/show/record/NCT00587210?,"Crohn's Disease",1.547,0,24513,0.00,37.03
05-08-2017,19:40:44,Request,https://clinicaltrials.gov/ct2/show/record/NCT02768532?,"Crohn's Disease",0.969,0,53403,0.00,50.54
05-08-2017,19:40:52,Request,https://clinicaltrials.gov/ct2/show/record/NCT02061163?,"Crohn's Disease",8.297,0,4809,0.00,38.97
05-08-2017,19:40:53,Request,https://clinicaltrials.gov/ct2/show/record/NCT01759264?,"Crohn's Disease",1.672,0,24953,0.00,40.74
05-08-2017,19:41:00,Request,https://clinicaltrials.gov/ct2/show/record/NCT00409682?,"Crohn's Disease",6.343,0,10031,0.00,62.14
05-08-2017,19:41:01,Request,https://clinicaltrials.gov/ct2/show/record/NCT01155362?,"Crohn's Disease",1.032,0,40189,0.00,40.50
05-08-2017,19:41:10,Request,https://clinicaltrials.gov/ct2/show/record/NCT01392365?,"Crohn's Disease",8.859,0,4881,0.00,42.23
05-08-2017,19:41:11,Request,https://clinicaltrials.gov/ct2/show/record/NCT01671579?,"Crohn's Disease",1.625,0,24791,0.00,39.34
05-08-2017,19:41:12,Request,https://clinicaltrials.gov/ct2/show/record/NCT01573078?,"Crohn's Disease",1.047,0,36117,0.00,36.93
