Date,Time,Type,Remark,Keyword,"Total Time (Seconds)","Speed Upload (KB)","Speed Download (KB)","Size Upload (KB)","Size Download (KB)"
05-08-2017,19:40:27,TrackerStart
05-08-2017,19:40:27,KeywordSearchStart,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:28,Request,https://clinicaltrials.gov/ct2/results?term=Ankylosing+Spodylitis&Search=&displayxml=true&pg=1,"Ankylosing Spodylitis",1.234,0,132,0.00,0.16
05-08-2017,19:40:28,KeywordSearchEnd,"Ankylosing Spodylitis","Ankylosing Spodylitis"
05-08-2017,19:40:28,KeywordSearchStart,"Crohn's Disease","Crohn's Disease"
05-08-2017,19:40:37,Request,https://clinicaltrials.gov/ct2/results?term=Crohn%27s+Disease&Search=&displayxml=true&pg=1,"Crohn's Disease",8.031,0,28,0.00,0.22
05-08-2017,19:40:37,KeywordSearchEnd,"Crohn's Disease","Crohn's Disease"
05-08-2017,19:40:37,KeywordSearchStart,Psoriasis,Psoriasis
05-08-2017,19:40:38,Request,https://clinicaltrials.gov/ct2/results?term=Psoriasis&Search=&displayxml=true&pg=1,Psoriasis,1.125,0,47273,0.00,51.94
05-08-2017,19:40:39,Request,https://clinicaltrials.gov/ct2/show/record/NCT01229085?,Psoriasis,1.453,0,26198,0.00,37.17
05-08-2017,19:40:40,Request,https://clinicaltrials.gov/ct2/show/record/NCT01916629?,Psoriasis,1.047,0,37911,0.00,38.76
05-08-2017,19:40:42,Request,https://clinicaltrials.gov/ct2/show/record/NCT02310204?,Psoriasis,1.547,0,25437,0.00,38.43
05-08-2017,19:40:43,Request,https://clinicaltrials.gov/ct2/show/record/NCT01228656?,Psoriasis,0.953,0,41785,0.00,38.89
05-08-2017,19:40:51,Request,https://clinicaltrials.gov/ct2/show/record/NCT00800982?,Psoriasis,8.031,0,28,0.00,0.22
05-08-2017,19:40:52,Request,https://clinicaltrials.gov/ct2/show/record/NCT02274363?,Psoriasis,1.047,0,44741,0.00,45.75
05-08-2017,19:40:53,Request,https://clinicaltrials.gov/ct2/show/record/NCT02417792?,Psoriasis,0.906,0,47083,0.00,41.66
05-08-2017,19:40:54,Request,https://clinicaltrials.gov/ct2/show/record/NCT01149252?,Psoriasis,1.672,0,23022,0.00,37.59
05-08-2017,19:40:55,Request,https://clinicaltrials.gov/ct2/show/record/NCT00647400?,Psoriasis,0.984,0,42770,0.00,41.10
05-08-2017,19:41:03,Request,https://clinicaltrials.gov/ct2/show/record/NCT02413801?,Psoriasis,8.172,0,6236,0.00,49.77
05-08-2017,19:41:05,Request,https://clinicaltrials.gov/ct2/show/record/NCT01126619?,Psoriasis,1.625,0,29231,0.00,46.39
05-08-2017,19:41:06,Request,https://clinicaltrials.gov/ct2/show/record/NCT02693470?,Psoriasis,1.047,0,38841,0.00,39.71
05-08-2017,19:41:08,Request,https://clinicaltrials.gov/ct2/show/record/NCT01156532?,Psoriasis,1.641,0,27945,0.00,44.78
05-08-2017,19:41:09,Request,https://clinicaltrials.gov/ct2/show/record/NCT00295425?,Psoriasis,1.015,0,38933,0.00,38.59
05-08-2017,19:41:10,Request,https://clinicaltrials.gov/ct2/show/record/NCT02644954?,Psoriasis,1.641,0,32756,0.00,52.49
05-08-2017,19:41:11,Request,https://clinicaltrials.gov/ct2/show/record/NCT03236870?,Psoriasis,1.016,0,38894,0.00,38.59
05-08-2017,19:41:13,Request,https://clinicaltrials.gov/ct2/show/record/NCT01555606?,Psoriasis,1.641,0,26366,0.00,42.25
05-08-2017,19:41:14,Request,https://clinicaltrials.gov/ct2/show/record/NCT00894777?,Psoriasis,1.156,0,32942,0.00,37.19
05-08-2017,19:41:16,Request,https://clinicaltrials.gov/ct2/show/record/NCT00195507?,Psoriasis,1.578,0,27423,0.00,42.26
05-08-2017,19:41:17,Request,https://clinicaltrials.gov/ct2/show/record/NCT02008890?,Psoriasis,1.141,0,38940,0.00,43.39
05-08-2017,19:41:19,Request,https://clinicaltrials.gov/ct2/show/record/NCT01604902?,Psoriasis,1.703,0,24858,0.00,41.34
05-08-2017,19:41:20,Request,https://clinicaltrials.gov/ct2/show/record/NCT00115076?,Psoriasis,1,0,42913,0.00,41.91
05-08-2017,19:41:21,Request,https://clinicaltrials.gov/ct2/show/record/NCT01989429?,Psoriasis,1.735,0,23333,0.00,39.53
05-08-2017,19:41:22,Request,https://clinicaltrials.gov/ct2/show/record/NCT02162472?,Psoriasis,1,0,41352,0.00,40.38
05-08-2017,19:41:24,Request,https://clinicaltrials.gov/ct2/show/record/NCT00930384?,Psoriasis,1.75,0,24757,0.00,42.31
05-08-2017,19:41:25,Request,https://clinicaltrials.gov/ct2/show/record/NCT00930592?,Psoriasis,1,0,47615,0.00,46.50
05-08-2017,19:41:27,Request,https://clinicaltrials.gov/ct2/show/record/NCT01019200?,Psoriasis,1.765,0,23360,0.00,40.27
05-08-2017,19:41:28,Request,https://clinicaltrials.gov/ct2/show/record/NCT01582932?,Psoriasis,1.047,0,44483,0.00,45.48
05-08-2017,19:41:30,Request,https://clinicaltrials.gov/ct2/show/record/NCT00604682?,Psoriasis,1.766,0,24406,0.00,42.09
05-08-2017,19:41:31,Request,https://clinicaltrials.gov/ct2/show/record/NCT02491658?,Psoriasis,1,0,42024,0.00,41.04
05-08-2017,19:41:39,Request,https://clinicaltrials.gov/ct2/show/record/NCT00895375?,Psoriasis,8.032,0,28,0.00,0.22
05-08-2017,19:41:40,Request,https://clinicaltrials.gov/ct2/show/record/NCT00606450?,Psoriasis,1.422,0,29055,0.00,40.35
05-08-2017,19:41:48,Request,https://clinicaltrials.gov/ct2/show/record/NCT02193919?,Psoriasis,8.031,0,28,0.00,0.22
05-08-2017,19:41:49,Request,https://clinicaltrials.gov/ct2/show/record/NCT00924950?,Psoriasis,1.141,0,39453,0.00,43.96
05-08-2017,19:41:51,Request,https://clinicaltrials.gov/ct2/show/record/NCT01451346?,Psoriasis,1.703,0,25064,0.00,41.68
05-08-2017,19:41:52,Request,https://clinicaltrials.gov/ct2/show/record/NCT01194219?,Psoriasis,1.313,0,44916,0.00,57.59
05-08-2017,19:41:54,Request,https://clinicaltrials.gov/ct2/show/record/NCT02239666?,Psoriasis,1.765,0,28163,0.00,48.54
05-08-2017,19:42:02,Request,https://clinicaltrials.gov/ct2/show/record/NCT01425138?,Psoriasis,8.032,0,28,0.00,0.22
05-08-2017,19:42:06,Request,https://clinicaltrials.gov/ct2/show/record/NCT02652065?,Psoriasis,3.843,0,11262,0.00,42.27
05-08-2017,19:42:08,Request,https://clinicaltrials.gov/ct2/show/record/NCT01010542?,Psoriasis,2.016,0,20442,0.00,40.25
05-08-2017,19:42:10,Request,https://clinicaltrials.gov/ct2/show/record/NCT01920906?,Psoriasis,2,0,22611,0.00,44.16
05-08-2017,19:42:12,Request,https://clinicaltrials.gov/ct2/show/record/NCT00688519?,Psoriasis,2.062,0,21661,0.00,43.62
05-08-2017,19:42:13,Request,https://clinicaltrials.gov/ct2/show/record/NCT00689481?,Psoriasis,1.11,0,39702,0.00,43.04
05-08-2017,19:42:15,Request,https://clinicaltrials.gov/ct2/show/record/NCT03097003?,Psoriasis,1.922,0,27573,0.00,51.75
05-08-2017,19:42:16,Request,https://clinicaltrials.gov/ct2/show/record/NCT02294981?,Psoriasis,1.125,0,35972,0.00,39.52
05-08-2017,19:42:18,Request,https://clinicaltrials.gov/ct2/show/record/NCT01077128?,Psoriasis,1.969,0,24939,0.00,47.95
05-08-2017,19:42:20,Request,https://clinicaltrials.gov/ct2/show/record/NCT01077232?,Psoriasis,1.344,0,30911,0.00,40.57
05-08-2017,19:42:21,Request,https://clinicaltrials.gov/ct2/show/record/NCT02409667?,Psoriasis,1.782,0,23969,0.00,41.71
05-08-2017,19:42:23,Request,https://clinicaltrials.gov/ct2/show/record/NCT00249808?,Psoriasis,1.281,0,34461,0.00,43.11
05-08-2017,19:42:25,Request,https://clinicaltrials.gov/ct2/show/record/NCT02267135?,Psoriasis,1.828,0,24149,0.00,43.11
05-08-2017,19:42:26,Request,https://clinicaltrials.gov/ct2/show/record/NCT01084668?,Psoriasis,1.297,0,34191,0.00,43.31
05-08-2017,19:42:34,Request,https://clinicaltrials.gov/ct2/show/record/NCT01018810?,Psoriasis,8.031,0,28,0.00,0.22
05-08-2017,19:42:35,Request,https://clinicaltrials.gov/ct2/show/record/NCT03222622?,Psoriasis,1.453,0,33445,0.00,47.46
05-08-2017,19:42:37,Request,https://clinicaltrials.gov/ct2/show/record/NCT02801435?,Psoriasis,1.75,0,30602,0.00,52.30
05-08-2017,19:42:39,Request,https://clinicaltrials.gov/ct2/show/record/NCT01677598?,Psoriasis,1.453,0,36320,0.00,51.54
05-08-2017,19:42:47,Request,https://clinicaltrials.gov/ct2/show/record/NCT01012713?,Psoriasis,8.032,0,28,0.00,0.22
05-08-2017,19:42:48,Request,https://clinicaltrials.gov/ct2/show/record/NCT01001468?,Psoriasis,1.203,0,32866,0.00,38.61
05-08-2017,19:42:50,Request,https://clinicaltrials.gov/ct2/show/record/NCT01373567?,Psoriasis,1.797,0,26573,0.00,46.63
05-08-2017,19:42:51,Request,https://clinicaltrials.gov/ct2/show/record/NCT02707341?,Psoriasis,1.531,0,28929,0.00,43.25
05-08-2017,19:42:53,Request,https://clinicaltrials.gov/ct2/show/record/NCT01970488?,Psoriasis,1.781,0,29079,0.00,50.58
05-08-2017,19:42:54,Request,https://clinicaltrials.gov/ct2/show/record/NCT00832364?,Psoriasis,1.5,0,26596,0.00,38.96
05-08-2017,19:43:02,Request,https://clinicaltrials.gov/ct2/show/record/NCT02088281?,Psoriasis,8.047,0,28,0.00,0.22
05-08-2017,19:43:04,Request,https://clinicaltrials.gov/ct2/show/record/NCT02888236?,Psoriasis,1.5,0,25540,0.00,37.41
05-08-2017,19:43:05,Request,https://clinicaltrials.gov/ct2/show/record/NCT00078819?,Psoriasis,1.422,0,28963,0.00,40.22
05-08-2017,19:43:13,Request,https://clinicaltrials.gov/ct2/show/record/NCT02074982?,Psoriasis,8.047,0,28,0.00,0.22
05-08-2017,19:43:15,Request,https://clinicaltrials.gov/ct2/show/record/NCT00990561?,Psoriasis,1.594,0,27717,0.00,43.15
05-08-2017,19:43:16,Request,https://clinicaltrials.gov/ct2/show/record/NCT01903317?,Psoriasis,1.453,0,32142,0.00,45.61
05-08-2017,19:43:18,Request,https://clinicaltrials.gov/ct2/show/record/NCT00852761?,Psoriasis,1.937,0,26189,0.00,49.54
05-08-2017,19:43:20,Request,https://clinicaltrials.gov/ct2/show/record/NCT00893126?,Psoriasis,1.454,0,29003,0.00,41.18
05-08-2017,19:43:22,Request,https://clinicaltrials.gov/ct2/show/record/NCT01039142?,Psoriasis,1.937,0,20418,0.00,38.62
